id	name	gender	age	family	region	trips_per_year	avg_budget_per_year	favorite_destination	vacation_type	travel_interest
59	Kurban Rustamov	Male	27	2	Quba	0	3764	France, Paris	calm	3
60	Naila Agalarova	Female	46	0	Nakhchivan	5	1178	Turkey, Antalya	sea	9
61	Khayala Khanlarova	Female	30	1	Shirvan	2	1660	Turkey, Antalya	sightseeing	3
62	Sona Bagirova	Female	46	1	Shirvan	5	2814	Azerbaijan, Shaki	calm	8
63	Fatima Farhadova	Female	41	0	Shirvan	0	631	Azerbaijan, Shaki	mountains	5
64	Fatima Vezirova	Female	55	2	Lankaran	1	3474	Italy, Rome	food	9
65	Murad Gadzhizade	Male	57	1	Sumqayit	3	1131	Turkey, Istanbul	food	3
66	Amil Azizov	Male	34	0	Sumqayit	2	618	Italy, Rome	sightseeing	2
67	Farid Azizov	Male	33	1	Ganja	1	2112	Italy, Rome	sightseeing	4
68	Aziz Babaev	Male	41	0	Shaki	2	1745	Turkey, Istanbul	retreat	7
69	Tarana Abdullaeva	Female	34	0	Mingachevir	4	1674	Georgia, Tbilisi	mountains	4
70	Zahra Abbaslya	Female	31	0	Baku	1	1587	France, Paris	active	6
71	Fatima Babaeva	Female	44	2	Nakhchivan	2	1253	Turkey, Istanbul	retreat	6
72	Emin Hasanli	Male	49	2	Nakhchivan	4	2139	Georgia, Tbilisi	retreat	9
73	Fatima Alekperova	Female	41	1	Sumqayit	1	2426	Germany, Berlin	active	2
74	Kurban Akhmedov	Male	21	1	Ganja	1	1730	Turkey, Antalya	sea	4
75	Muslim Abdullaev	Male	35	0	Nakhchivan	3	1218	Turkey, Antalya	sea	1
76	Irada Sharifova	Female	51	0	Goychay	4	1704	Italy, Rome	calm	7
77	Server Zeynalov	Male	54	2	Shaki	0	1064	Germany, Berlin	active	5,5
78	Farid Rustamov	Male	41	0	Sumqayit	4	2111	Georgia, Tbilisi	active	2
79	Elmira Agaeva	Female	19	0	Quba	2	1704	Georgia, Tbilisi	retreat	7
80	Kurban Nuriev	Male	56	0	Mingachevir	0	1382	Spain, Barcelona	food	6
81	Ismail Jabbarov	Male	60	0	Lankaran	3	1245	Germany, Berlin	active	1
82	Server Gadzhizade	Male	50	0	Shaki	5	841	Germany, Berlin	active	10
83	Emin Veliev	Male	46	1	Baku	1	1924	Russia, Moscow	mountains	6
84	Nigar Velieva	Female	49	1	Quba	1	2248	Turkey, Istanbul	food	8
85	Aida Vezirova	Female	30	1	Lankaran	3	1412	Turkey, Antalya	sea	9
86	Samira Ramazanova	Female	32	1	Baku	1	2215	Spain, Barcelona	food	6
87	Ismail Kamalov	Male	58	0	Quba	2	1080	Georgia, Tbilisi	mountains	6
88	Elchin Ragimov	Male	58	1	Ganja	2	2061	Georgia, Tbilisi	active	1
89	Aydyn Kazimov	Male	41	1	Shaki	4	732	Spain, Barcelona	sea	9
90	Murad Ragimov	Male	54	1	Lankaran	5	3348	Georgia, Tbilisi	mountains	3
91	Elman Khanlarov	Male	26	2	Goychay	5	1704	UAE, Dubai	sea	8
92	Almaz Abbasov	Male	21	2	Lankaran	2	2185	Spain, Barcelona	food	2
93	Uludz Vezirova	Female	41	0	Baku	0	925	Germany, Berlin	active	6
94	Aygul Dzhalilova	Female	48	1	Shirvan	2	1363	Turkey, Antalya	sea	9
95	Elman Alekperov	Male	58	2	Shaki	0	1547	Spain, Barcelona	food	7
96	Amina Gadzhieva	Female	23	2	Quba	5	3140	Georgia, Tbilisi	active	2
97	Emina Velieva	Female	54	0	Quba	1	651	Georgia, Tbilisi	retreat	3
98	Huseyn Gasanov	Male	43	0	Quba	2	694	UAE, Dubai	sea	2
99	Sevinj Ismailova	Female	53	2	Goychay	2	2957	Turkey, Antalya	sea	8
100	Kurban Gadzhiev	Male	50	0	Goychay	5	486	Turkey, Istanbul	retreat	4
101	Susan Ibrahimova	Female	34	0	Lankaran	2	1964	Georgia, Tbilisi	active	2
102	Zara Mustafayeva	Female	36	0	Baku	4	1409	Russia, Moscow	mountains	5
103	Zara Azizova	Female	36	2	Baku	3	2386	Russia, Moscow	mountains	7
104	Fatima Sharifova	Female	60	0	Nakhchivan	5	1704	Georgia, Tbilisi	active	6
105	Emina Novruzova	Female	35	2	Shirvan	1	2454	France, Paris	active	10
106	Mansur Israfilov	Male	56	1	Nakhchivan	1	1546	Georgia, Tbilisi	mountains	3
107	Konul (Kenyul) Babaeva	Female	34	1	Shaki	3	2566	Spain, Barcelona	sea	3
108	Khayala Khanlarova	Female	35	0	Lankaran	1	1527	Germany, Berlin	active	5
109	Zulfiya Jafarova	Female	28	0	Quba	1	1664	Turkey, Istanbul	retreat	10
110	Mina Ismailov	Male	37	1	Baku	5	1909	Azerbaijan, Shaki	mountains	7
111	Aziza Balabanova	Female	52	1	Mingachevir	5	2543	France, Paris	calm	4
112	Emin Askerov	Male	54	0	Quba	2	1096	Turkey, Antalya	sightseeing	6
113	Elmar Sadigov	Male	54	0	Lankaran	2	1668	UAE, Dubai	sea	9
114	Sima Imanova	Female	41	0	Quba	3	1581	Georgia, Tbilisi	active	7
115	Govkhar Khanlarova	Female	52	0	Nakhchivan	2	1407	Russia, Moscow	mountains	3
116	Uludz Jabbarova	Female	34	2	Goychay	0	2563	UAE, Dubai	sea	5
117	Samira Shirinova	Female	44	2	Mingachevir	5	1322	Azerbaijan, Shaki	retreat	5,5
118	Ali Shakhbazov	Male	45	2	Shaki	1	3185	Georgia, Tbilisi	retreat	5
119	Ismail Shakhmuradov	Male	54	1	Shirvan	2	2595	Spain, Barcelona	food	1
120	Bakhtiyar Askerov	Male	25	0	Baku	0	1546	Italy, Rome	calm	10
121	Anar Dzhevanshir	Male	37	1	Shaki	5	1215	UAE, Dubai	sea	5
122	Alma Rustamova	Female	50	0	Sumqayit	3	633	Georgia, Tbilisi	active	8
123	Deniz Aslanlya	Female	30	0	Goychay	2	723	UAE, Dubai	sea	2
124	Ilham Azizov	Male	25	2	Shirvan	3	2602	France, Paris	calm	10
125	Zarifa Babaeva	Female	48	0	Sumqayit	0	2239	France, Paris	calm	3
126	Ilham Rustamov	Male	27	2	Shaki	4	3332	UAE, Dubai	sea	9
127	Fatima Gamidova	Female	47	0	Lankaran	0	1722	Turkey, Istanbul	retreat	4
128	Ayshe Dzhangirova	Female	31	0	Lankaran	0	879	France, Paris	active	4
129	Aziza Agaeva	Female	23	0	Quba	2	682	France, Paris	active	4
130	Magomed Nuriev	Male	24	0	Shaki	4	1704	Spain, Barcelona	food	1
131	Muslim Mekhtiev	Male	36	0	Ganja	4	1631	Turkey, Antalya	sea	7
132	Sona Mamedova	Female	39	0	Shirvan	5	945	Turkey, Istanbul	retreat	2
133	Aziza Aminova	Female	57	0	Lankaran	2	1704	Georgia, Tbilisi	mountains	1
134	Zurab Aliyev	Male	54	0	Shaki	5	1810	Georgia, Tbilisi	active	3
135	Aziz Jafarov	Male	58	1	Quba	0	1485	Georgia, Tbilisi	sightseeing	6
136	Alma Balabanova	Female	22	1	Nakhchivan	2	1758	Georgia, Tbilisi	mountains	5
137	Rasul Bayramov	Male	51	2	Goychay	1	1480	Turkey, Istanbul	food	3
138	Zarifa Gamidova	Female	54	0	Lankaran	5	1906	Turkey, Antalya	sea	3
139	Aydyn Gasanov	Male	52	0	Goychay	2	1174	Spain, Barcelona	food	1
140	Bakhtiyar Talybov	Male	40	0	Lankaran	0	842	Turkey, Antalya	sea	3
141	Sona Yusifova	Female	41	0	Lankaran	0	1694	Spain, Barcelona	sea	3
142	Almaz Alikhanly	Male	41	1	Goychay	4	1704	UAE, Dubai	sea	2
143	Sevda Farhadova	Female	34	1	Baku	2	967	UAE, Dubai	sea	9
144	Mahabbat Shirinova	Female	41	1	Shaki	3	3024	Spain, Barcelona	food	4
145	Gocha Naffigov	Male	57	0	Shaki	2	2234	UAE, Dubai	sea	1
146	Jamila Israfilova	Female	45	1	Sumqayit	5	3086	Turkey, Antalya	sea	10
147	Aziz Veliev	Male	26	1	Nakhchivan	5	1145	UAE, Dubai	sea	8
148	Konul (Kenyul) Mustafayeva	Female	26	0	Ganja	5	2499	Germany, Berlin	active	6
149	Gocha Shukyurov	Male	57	2	Nakhchivan	4	3431	Georgia, Tbilisi	sightseeing	5
150	Isaak Nasibov	Male	35	0	Goychay	3	2030	Germany, Berlin	sightseeing	9
151	Gocha Jafarov	Male	21	1	Quba	5	2545	Turkey, Istanbul	food	10
152	Aygul Nadjafova	Female	54	0	Goychay	2	1704	Spain, Barcelona	sea	5
153	Server Veliev	Male	27	0	Quba	2	945	Turkey, Istanbul	food	2
154	Lazar Abdullaev	Male	53	2	Goychay	3	1248	Italy, Rome	calm	4
155	Khayala Sharifova	Female	42	2	Nakhchivan	2	1706	Turkey, Antalya	sea	2
156	Seyran Ramazanov	Male	28	1	Shaki	3	2173	Germany, Berlin	active	2
157	Zaur Vezirov	Male	39	1	Nakhchivan	2	1642	Azerbaijan, Shaki	calm	9
158	Ayshe Alikhanlya	Female	46	0	Nakhchivan	1	2104	Turkey, Istanbul	retreat	8
159	Saida Rakhmanova	Female	33	0	Lankaran	4	1216	UAE, Dubai	sea	4
160	Naila Gulieva	Female	27	1	Quba	5	1311	Germany, Berlin	active	3
161	Farid Babaev	Male	43	1	Ganja	1	1704	Turkey, Antalya	sea	7
162	Murad Sadigov	Male	23	2	Nakhchivan	5	1297	Spain, Barcelona	food	1
163	Rasul Gadzhiev	Male	22	1	Mingachevir	4	2349	Georgia, Tbilisi	active	9
164	Gulnara Shakhbazova	Female	54	0	Quba	0	1885	Spain, Barcelona	sightseeing	5,5
165	Magomed Agalarov	Male	39	0	Quba	1	2081	Germany, Berlin	active	4
166	Ali Askerov	Male	44	0	Shirvan	1	1324	Spain, Barcelona	sea	3
167	Ismail Zeynalov	Male	58	1	Nakhchivan	2	2838	UAE, Dubai	sea	8
168	Murad Alekperov	Male	54	2	Shaki	0	1214	Spain, Barcelona	sightseeing	2
169	Susan Shakhina	Female	31	1	Goychay	2	2359	Azerbaijan, Shaki	retreat	9
170	Mahabbat Dzhalilova	Female	28	2	Goychay	0	3500	Turkey, Antalya	sea	7
171	Elchin Khudayarli	Male	46	2	Goychay	5	3066	Azerbaijan, Shaki	mountains	10
172	Farid Imanov	Male	41	0	Ganja	3	1178	Spain, Barcelona	food	5
173	Irada Sabirova	Female	41	0	Goychay	0	813	Georgia, Tbilisi	sightseeing	1
174	Elnur Shukyurov	Male	18	0	Mingachevir	0	1630	Turkey, Antalya	sea	4
175	Kyamala Kazimova	Female	42	2	Ganja	4	1295	UAE, Dubai	sea	6
176	Inara Akhundova	Female	34	0	Nakhchivan	2	1762	Italy, Rome	sightseeing	5
177	Rasul Khalilov	Male	33	2	Quba	5	3001	Azerbaijan, Shaki	calm	7
178	Kurban Ragimov	Male	41	2	Shirvan	5	2570	Georgia, Tbilisi	active	6
179	Rasul Sharifov	Male	51	0	Lankaran	4	1411	France, Paris	active	1
180	Aziza Agalarova	Female	33	2	Shaki	2	2415	Azerbaijan, Shaki	mountains	7
181	Muslim Babaev	Male	50	1	Baku	5	2078	Azerbaijan, Shaki	mountains	4
182	Zahra Kerimova	Female	42	0	Mingachevir	0	1664	Azerbaijan, Shaki	sightseeing	7
183	Luka Magerramov	Male	21	0	Nakhchivan	3	1170	Turkey, Istanbul	sightseeing	1
184	Sara Muradova	Female	38	1	Baku	2	2213	Turkey, Antalya	sea	7
185	Huseyn Sabirov	Male	45	0	Shaki	3	771	Azerbaijan, Shaki	calm	7
186	Gulnara Israfilova	Female	50	1	Mingachevir	5	2696	Spain, Barcelona	food	4
187	Samuil Sabirov	Male	44	2	Shaki	5	2289	Turkey, Antalya	sightseeing	4
188	Suren Ramazanov	Male	26	0	Goychay	3	1704	Turkey, Antalya	sea	9
189	Anar Samedov	Male	26	0	Quba	5	804	UAE, Dubai	sea	3
190	Mahabbat Alekperova	Female	60	2	Ganja	1	1704	Azerbaijan, Shaki	retreat	9
191	Samira Dzhalilova	Female	60	0	Goychay	1	1376	Turkey, Istanbul	retreat	10
192	Khatira Novruzova	Female	55	0	Quba	4	1048	Georgia, Tbilisi	mountains	4
193	Anzor Mustafayev	Male	50	1	Mingachevir	1	1704	Georgia, Tbilisi	retreat	7
194	Govkhar Aslanlya	Female	34	2	Quba	2	1245	Azerbaijan, Shaki	mountains	9
195	Maryam Shakhina	Female	59	0	Sumqayit	0	1402	Azerbaijan, Shaki	calm	7
196	Emina Velieva	Female	49	1	Sumqayit	3	2390	Italy, Rome	food	4
197	Fatima Shakhina	Female	21	2	Sumqayit	1	1887	Italy, Rome	calm	9
198	Amil Gasanov	Male	31	1	Goychay	2	2087	France, Paris	active	6
199	Samira Abdullaeva	Female	29	1	Quba	2	1455	France, Paris	calm	9
200	Mansur Ramazanov	Male	25	0	Lankaran	2	1197	Georgia, Tbilisi	retreat	7
